Kecamatan,Desa,Link
PLOSOKLATEN,SUMBERAGUNG,https://docs.google.com/spreadsheets/d/1gziNJX08Q8ZoirxHvlOuh6lzr8UBa-uu/edit
PLOSOKLATEN,KAWEDUSAN,https://docs.google.com/spreadsheets/d/1H_3mE8amUM3WCAQPSaSiNcM9H7l_kSwc/edit
PLOSOKLATEN,PUNJUL,https://docs.google.com/spreadsheets/d/144vgTE_MopwfX1y2IJjuwiDLP80RVUNx/edit
PLOSOKLATEN,PRANGGANG,https://docs.google.com/spreadsheets/d/12mWwb9edU-052ecLRDyCLVtVTxj5pJaE/edit
GURAH,NGASEM,https://docs.google.com/spreadsheets/d/1ppPMaIWH-edHXFpYV9BmS_eFENkeCoPS/edit
GURAH,BOGEM,https://docs.google.com/spreadsheets/d/1hTLd7EohpqaaqFFIQ-vS9tbjdKVCDhDe/edit
GURAH,KRANGGAN,https://docs.google.com/spreadsheets/d/1b3MhH2ig8f6nlWR7-qUKALoVuWhxlceT/edit
GURAH,NGLUMBANG,https://docs.google.com/spreadsheets/d/1YkUtKCwut9KNkvN8hW982Ko1Vy8eETq1/edit
GURAH,GABRU,https://docs.google.com/spreadsheets/d/1XFMHp2q9TUkzMwKGpuY0_8QMIlP7U2W1/edit
PLOSOKLATEN,WONOREJO_TRISULO,https://docs.google.com/spreadsheets/d/1SZJUnan2gpadbGf3uynTx92_6mP_ZWws/edit
GURAH,WONOJOYO,https://docs.google.com/spreadsheets/d/1N6yI6ojvoq1tjv7B-KoCm4KgdYdmXWJw/edit
PLOSOKLATEN,SEPAWON,https://docs.google.com/spreadsheets/d/1MF0yEOUwfasMDjVzviqs37IpVpt-pmAi/edit
GURAH,TURUS,https://docs.google.com/spreadsheets/d/1Lc8dIfvYbdFnGZEdZQG3UyOE9eMWSRU5/edit
GURAH,BLIMBING,https://docs.google.com/spreadsheets/d/11v6a61Bky7XiETQyz5JDnyo3AwiBYDbK/edit
GURAH,BANGKOK,https://docs.google.com/spreadsheets/d/1yvgaJ3LGD2Nxh7SxMbIDBf-YgPPbftlG/edit
GURAH,SUKOREJO,https://docs.google.com/spreadsheets/d/1uflHqYuih91EiNxhNUejel9zH0OfK1EG/edit
GURAH,SUMBERCANGKRING,https://docs.google.com/spreadsheets/d/1gyjyCc0km3PJrN7_4vNUcIeq_7wEgutW/edit
GURAH,GEMPOLAN,https://docs.google.com/spreadsheets/d/1_pnV_HozjX-ULfacUq9hkmTKK7hWJSlo/edit
GURAH,TIRU_LOR,https://docs.google.com/spreadsheets/d/1YtoqJ2eGLlYILzmb3NNcQi2-os6Z15iT/edit
GURAH,BESUK,https://docs.google.com/spreadsheets/d/1Wz-eEV9AVScAY1pyKSXgiontnNL6ib6g/edit
GURAH,GURAH,https://docs.google.com/spreadsheets/d/1RnvCQRGmC2iC-tYcXa_zp6SrwiAWXFd_/edit
GURAH,GAYAM,https://docs.google.com/spreadsheets/d/14asvOcGndcLY3FeJ25nTGjmdY6fQzJU1/edit
GURAH,TIRU_KIDUL,https://docs.google.com/spreadsheets/d/122xxpjTeQoO6G3T0SD6gzv0fsreXsqWG/edit
GURAH,TAMBAKREJO,https://docs.google.com/spreadsheets/d/1sSvEramrDprnc4mUGfmuESym2UV1RsH1/edit
GURAH,KERKEP,https://docs.google.com/spreadsheets/d/1R0-rrsD980dfmQK3SkBvB2_ZCNVP6SKY/edit
GURAH,BANYUANYAR,https://docs.google.com/spreadsheets/d/1-LQyGhL4u-YqdpYoNvOHk5gRzk_f39O1/edit
PAGU,WATES,https://docs.google.com/spreadsheets/d/1sL04hqC1W4J8r2aQ_Kx2OjHFtGysByTy/edit
PAGU,MENANG,https://docs.google.com/spreadsheets/d/1qNLyrrmP00wo7rYJ49zBGyaOxzc79gfu/edit
PAGU,TANJUNG,https://docs.google.com/spreadsheets/d/1o0oQ8ggZ8PwQACQkFV6i5CfDc-9SBe7B/edit
PAGU,WONOSARI,https://docs.google.com/spreadsheets/d/1dKFBbiQPObEYW4zdVoywwca_8YD2S3MO/edit
GURAH,ADAN-ADAN,https://docs.google.com/spreadsheets/d/1VkuHSH-n4IcGoK87X0_K9roIbtlrLwC2/edit
PAGU,KAMBINGAN,https://docs.google.com/spreadsheets/d/1JzW6jai9Xf8O6Xtd9jHhAW20MJ-Jc7uq/edit
PAGU,BULUPASAR,https://docs.google.com/spreadsheets/d/11gnjkqf_z0BtHfQe7c9OZRzrWolzW3IM/edit
PAGU,SEMEN,https://docs.google.com/spreadsheets/d/1mrkksjKTeJLB-n-5r4nDXZJNUddCIhek/edit
PAGU,SEMANDING,https://docs.google.com/spreadsheets/d/1SUX2u1NTp2vP28IZ7x-8bBwgFeVRkvEq/edit
PAGU,TENGGER_KIDUL,https://docs.google.com/spreadsheets/d/1G0QTBEMybS1nhT6nokeeev1KqfxF72qC/edit
PAGU,PAGU,https://docs.google.com/spreadsheets/d/17u2KsQqMC4D1biwz7ZansaMDPzHpgrXD/edit
PAGU,SITIMERTO,https://docs.google.com/spreadsheets/d/16Ba4PhB9yjGGB9w68JFvUABOJ3hFrG9D/edit
PAGU,BENDO,https://docs.google.com/spreadsheets/d/11JPmlFXXkkQGq5tYnuzA2PN2T1Gx8M1G/edit
GAMPENGREJO,NGEBRAK,https://docs.google.com/spreadsheets/d/1xzg0aDENbqXcqIKkMaDFA3Xf14_fjphY/edit
GAMPENGREJO,GAMPENG,https://docs.google.com/spreadsheets/d/1qqi5429Mu89Bz0kLyslAKtXCVwUjJ3DG/edit
GAMPENGREJO,SAMBIRESIK,https://docs.google.com/spreadsheets/d/1j-6DbifhiPO3x5E7W9TXykKGG6xanQcz/edit
GAMPENGREJO,JONGBIRU,https://docs.google.com/spreadsheets/d/1fEh1RZdv-o0Tn0JDO_VklAvG2L777EZE/edit
GAMPENGREJO,TURUS,https://docs.google.com/spreadsheets/d/1b2NBp72nvJUKu_34DTOAt7vhtSEZF1Hm/edit
GAMPENGREJO,PUTIH,https://docs.google.com/spreadsheets/d/1_gXvIK9wGwpIESjz3AxbMFVYpkJ3MoKk/edit
GAMPENGREJO,PLOSOREJO,https://docs.google.com/spreadsheets/d/1VAtHJ0dnpJ01F5xGSM3MYcKUn-3Gjfws/edit
GAMPENGREJO,WANENGPATEN,https://docs.google.com/spreadsheets/d/1RKj93-Nm8Ht9bhCsZWOc6uxDQwTBwaTk/edit
PAGU,JAGUNG,https://docs.google.com/spreadsheets/d/1PJu6n6FxzooJeZjuV9GwyvxyoBWrhc2l/edit
GAMPENGREJO,KEPUHREJO,https://docs.google.com/spreadsheets/d/1MJ7riuTJai_7OhYs2sYXzhvqCZzNoWxl/edit
GAMPENGREJO,SAMBIREJO,https://docs.google.com/spreadsheets/d/1ABidACBd-9QKaEll011V8vxs4g_HjKj5/edit
GAMPENGREJO,KALIBELO,https://docs.google.com/spreadsheets/d/12ySDMBz-_xTKahC0gJbFmYijAIxVdqQU/edit
GROGOL,KALIPANG,https://docs.google.com/spreadsheets/d/1frIefef28Rrpd4-DYTmRDi7eASM_sGTQ/edit
GROGOL,SONOREJO,https://docs.google.com/spreadsheets/d/1cjfMFKIWyi4ei1ph9mTQOXEiUmvBAbED/edit
GROGOL,GROGOL,https://docs.google.com/spreadsheets/d/1beFAonxi5TtZFbky7K7GYhY-MMYgyCHn/edit
GROGOL,CERME,https://docs.google.com/spreadsheets/d/1a2xJ4zSE1aNGbV0sv2g2ZpjKgNPDLWvO/edit
GROGOL,DATENGAN,https://docs.google.com/spreadsheets/d/1I12oUH_nLgNZnVUWHmIdl7pi_cNqYMi7/edit
GROGOL,WONOASRI,https://docs.google.com/spreadsheets/d/1HEuv3P4RvDJawkKSpt_qOSfzC2XbfDdb/edit
